T,C
10,0
14.94949494949495,0
19.8989898989899,0
24.848484848484848,0
29.7979797979798,2103782740080052e-52
34.74747474747475,22035329261719376e-53
39.696969696969695,2301973564465146e-52
44.64646464646464,2403272812222406e-52
49.5959595959596,2511505564755117e-52
54.54545454545455,26295245665880057e-53
59.494949494949495,2758727583655563e-52
64.44444444444444,2899266361984406e-52
69.39393939393939,30503992767745316e-53
74.34343434343434,32108348636105373e-53
79.29292929292929,33790069130427416e-53
84.24242424242425,35532735607357645e-53
89.1919191919192,3732274993472459e-52
94.14141414141415,3926274686838297e-52
99.0909090909091,4531181498193606e-52
104.04040404040404,15188796383476948e-52
108.98989898989899,21102228982976684e-51
113.93939393939394,30570444687440303e-50
118.88888888888889,36265027120956325e-49
123.83838383838383,3551073356883209e-47
128.78787878787878,29292170248474623e-47
133.73737373737373,20731810875065457e-46
138.68686868686868,12791687660383864e-45
143.63636363636363,6976203588115949e-44
148.58585858585857,34035718590444807e-44
153.53535353535352,1501226573018186e-42
158.4848484848485,60418454169624446e-43
163.43434343434345,2236907783388831e-41
168.3838383838384,7673944103036684e-41
173.33333333333334,24550955566170576e-41
178.2828282828283,7366851025889346e-40
183.23232323232324,208391860012367e-38
188.1818181818182,558286995010691e-38
193.13131313131314,14223426182558116e-39
198.08080808080808,3458891699339492e-38
203.03030303030303,8055951316271717e-38
207.97979797979798,1802469908486408e-37
212.92929292929293,38850215492639954e-38
217.87878787878788,8087013936631801e-37
222.82828282828282,16294889901768767e-37
227.77777777777777,31849053872063684e-37
232.72727272727272,60500661992111594e-37
237.67676767676767,11189480723526968e-36
242.62626262626262,20181419801742586e-36
247.57575757575756,3554965479457748e-35
252.5252525252525,6124355672594979e-35
257.47474747474746,10331908741699471e-35
262.42424242424244,1708866936946787e-34
267.37373737373736,27740752082343027e-35
272.32323232323233,4424366000528418e-34
277.27272727272725,6939305581507753e-34
282.22222222222223,10712576756381397e-34
287.17171717171715,16290694308635937e-34
292.1212121212121,24422145762723897e-34
297.07070707070704,3611898801509044e-33
302.020202020202,5273314593683346e-33
306.969696969697,7604986422273555e-33
311.9191919191919,10840095253871638e-33
316.8686868686869,1528006304461781e-32
321.8181818181818,21310691695127607e-33
326.7676767676768,2942116145723478e-32
331.7171717171717,4022620048797446e-32
336.6666666666667,5449173976307289e-32
341.6161616161616,7316436558559759e-32
346.5656565656566,9740487524603476e-32
351.5151515151515,12862622989831642e-32
356.4646464646465,16853618240412386e-32
361.4141414141414,21918483685680567e-32
366.3636363636364,2830173709138799e-31
371.3131313131313,36293212221922826e-32
376.26262626262627,4623442064387131e-31
381.2121212121212,5852547971912107e-31
386.16161616161617,7363261579138975e-31
391.1111111111111,9209624729841433e-31
396.06060606060606,11453964807917662e-31
401.010101010101,14167818654949765e-31
405.95959595959596,17432913174910328e-31
410.90909090909093,21342201257724267e-31
415.85858585858585,2600095118893888e-30
420.80808080808083,3152788725791624e-30
425.75757575757575,3805637883690286e-30
430.7070707070707,4573567478282796e-30
435.65656565656565,5473217961706834e-30
440.6060606060606,65230767569529065e-31
445.55555555555554,7743613023558581e-30
450.5050505050505,9157415329047776e-30
455.45454545454544,10789331743792832e-30
460.4040404040404,12666611853978321e-30
465.35353535353534,14819050168253335e-30
470.3030303030303,17279130378537517e-30
475.25252525252523,2008216992431974e-29
480.2020202020202,2326646430263139e-29
485.1515151515151,26873430562623465e-30
490.1010101010101,3094774942422385e-29
495.050505050505,35537505464567117e-30
500,40694324823597094e-30
